timeStamp,elapsed,label,responseCode,responseMessage,threadName,dataType,success,failureMessage,grpThreads,allThreads,URL,Latency,SampleCount,ErrorCount
1525083781528,261,CRUD_GET - ZIP Files by repoAlias with/without optional parameters_TC-67,200,Endpoint is working and returned a result.The Response data looks as per compliance.,[TG] - CRUD 1-1,text,true,,1,1,http://172.16.1.200:8080/damsl/v1/rest/git-fs/files/damsl-test-stats/zip?filter=new-dir&refId=253cf8590ee6ef7c6703171485f22cd16fa1459a,261,1,0
1525083781528,261,[TC] - CRUD_TC-67,200,"Number of samples in transaction : 1, number of failing samples : 0",[TG] - CRUD 1-1,,true,,1,1,null,261,1,0
1525083781792,422,CRUD_GET - ZIP Files by repoAlias with/without optional parameters_TC-68,200,Endpoint is working and returned a result.The Response data looks as per compliance.,[TG] - CRUD 1-1,text,true,,1,1,http://172.16.1.200:8080/damsl/v1/rest/git-fs/files/damsl-test/zip?filter=&refId=,422,1,0
1525083781792,422,[TC] - CRUD_TC-68,200,"Number of samples in transaction : 1, number of failing samples : 0",[TG] - CRUD 1-1,,true,,1,1,null,422,1,0
1525083782256,277,CRUD_GET - ZIP Files by repoAlias with/without optional parameters_TC-71,200,Endpoint is working and returned a result.The Response data looks as per compliance.,[TG] - CRUD 1-1,text,true,,1,1,http://172.16.1.200:8080/damsl/v1/rest/git-fs/files/damsl-test-stats/zip?filter=new-dirr&refId=,277,1,0
1525083782256,277,[TC] - CRUD_TC-71,200,"Number of samples in transaction : 1, number of failing samples : 0",[TG] - CRUD 1-1,,true,,1,1,null,277,1,0
1525083782537,271,CRUD_GET - ZIP Files by repoAlias with/without optional parameters_TC-72,200,Endpoint is working and returned a result.The Response data looks as per compliance.,[TG] - CRUD 1-1,text,true,,1,1,http://172.16.1.200:8080/damsl/v1/rest/git-fs/files/damsl-test-stats/zip?filter=&refId=29b9b81b335b2968289388d2d92ad5859605dc7e,271,1,0
1525083782537,271,[TC] - CRUD_TC-72,200,"Number of samples in transaction : 1, number of failing samples : 0",[TG] - CRUD 1-1,,true,,1,1,null,271,1,0
1525083786480,860,CRUD_POST-Writes the BODY contents to the new file_TC-84,200,Endpoint is working and returned a result.The Response data looks as per compliance.,[TG] - CRUD 1-1,text,true,,1,1,http://172.16.1.200:8080/damsl/v1/rest/git-fs/files/test77/ShrikantC/test1.txt,859,1,0
1525083786389,860,[TC] - CRUD_TC-84,200,"Number of samples in transaction : 1, number of failing samples : 0",[TG] - CRUD 1-1,,true,,1,1,null,859,1,0
